Wall time,Step,Value
1713898502.1475132,5120,288.0
1713898536.9915135,40960,303.0
1713898539.515512,43520,312.0
1713898541.960513,46080,313.0
1713898579.9095128,81920,722.0
1713898582.5105128,84480,722.0
1713898585.0765119,87040,594.0
1713898619.9555125,120320,594.0
1713898622.8975124,122880,301.0
1713898625.5215127,125440,594.0
1713898627.9675133,128000,308.0
1713898661.0855122,161280,594.0
1713898663.5615122,163840,302.0
1713898666.074513,166400,594.0
1713898668.5295138,168960,305.0
1713898701.910512,202240,594.0
1713898704.360512,204800,594.0
1713898709.4625118,209920,307.0
1713898740.0475118,240640,594.0
1713898742.9755127,243200,295.0
1713898745.4325125,245760,293.0
1713898750.4745133,250880,594.0
1713898781.007513,281600,594.0
1713898783.6125126,284160,301.0
1713898786.145512,286720,305.0
1713898788.626512,289280,594.0
1713898821.809512,322560,306.0
1713898824.3715146,325120,594.0
1713898826.864512,327680,294.0
1713898829.332513,330240,304.0
1713898862.985513,363520,594.0
1713898865.4945128,366080,722.0
1713898868.016512,368640,303.0
1713898870.5495124,371200,305.0
1713898903.6135123,404480,594.0
1713898906.080512,407040,594.0
1713898908.599513,409600,306.0
1713898911.099512,412160,594.0
1713898941.758512,442880,594.0
1713898944.4175122,445440,594.0
1713898949.372512,450560,297.0
1713898952.3465118,453120,594.0
1713898982.9835122,483840,594.0
1713898985.468512,486400,594.0
1713898987.943512,488960,594.0
1713898990.564513,491520,594.0
1713898993.0935144,494080,298.0
1713899023.7785141,524800,594.0
1713899026.254512,527360,594.0
1713899028.7605126,529920,316.0
1713899031.2575135,532480,594.0
1713899061.9595118,563200,594.0
1713899064.4935122,565760,594.0
1713899069.5435123,570880,594.0
1713899072.465512,573440,301.0
1713899103.0625122,604160,594.0
1713899105.5625134,606720,594.0
1713899110.5895133,611840,594.0
1713899113.1155124,614400,594.0
1713899143.7935119,645120,594.0
1713899146.300512,647680,594.0
1713899148.813512,650240,594.0
1713899151.2765126,652800,308.0
1713899153.9505122,655360,703.0
1713899181.996512,683520,594.0
1713899184.6255126,686080,594.0
1713899189.599512,691200,594.0
1713899192.5525122,693760,296.0
1713899195.0135124,696320,594.0
1713899223.2855117,724480,594.0
1713899225.810512,727040,594.0
1713899230.8285122,732160,594.0
1713899233.4395123,734720,594.0
1713899235.921512,737280,594.0
1713899264.188514,765440,296.0
1713899266.7055128,768000,594.0
1713899271.708512,773120,594.0
1713899274.294514,775680,594.0
1713899276.9175124,778240,296.0
1713899305.5245125,806400,594.0
1713899307.993512,808960,300.0
1713899310.551512,811520,594.0
1713899313.3565118,814080,594.0
1713899318.360513,819200,594.0
1713899346.8055131,847360,594.0
1713899349.3345122,849920,296.0
1713899351.925512,852480,594.0
1713899354.3865116,855040,594.0
1713899356.944512,857600,594.0
1713899359.4015121,860160,301.0
1713899385.1275122,885760,594.0
1713899387.7365124,888320,594.0
1713899392.674512,893440,299.0
1713899395.256512,896000,594.0
1713899397.8055124,898560,594.0
1713899400.3015137,901120,308.0
1713899425.8985128,926720,594.0
1713899428.4355133,929280,594.0
1713899433.7725122,934400,594.0
1713899436.258515,936960,307.0
1713899438.836512,939520,594.0
1713899467.0175118,967680,312.0
1713899469.560512,970240,305.0
1713899472.1075122,972800,594.0
1713899474.5895123,975360,594.0
1713899479.5795128,980480,594.0
1713899507.869512,1008640,594.0
1713899510.4125135,1011200,594.0
1713899512.9035122,1013760,594.0
1713899515.4735143,1016320,312.0
1713899520.4595122,1021440,594.0
1713899548.7195134,1049600,594.0
1713899554.1305125,1054720,311.0
1713899556.6435137,1057280,594.0
1713899559.1045117,1059840,594.0
1713899561.7235124,1062400,313.0
1713899587.6645122,1088000,594.0
1713899590.353512,1090560,594.0
1713899595.4785123,1095680,594.0
1713899598.0085118,1098240,303.0
1713899600.4835124,1100800,594.0
1713899628.4925127,1128960,299.0
1713899631.0455122,1131520,302.0
1713899633.548512,1134080,594.0
1713899636.001512,1136640,306.0
1713899638.4895122,1139200,594.0
1713899641.0395122,1141760,296.0
1713899670.002518,1169920,594.0
1713899672.9025123,1172480,594.0
1713899677.8505118,1177600,594.0
1713899682.9455118,1182720,594.0
1713899711.073512,1210880,594.0
1713899713.5645123,1213440,594.0
1713899718.5775132,1218560,305.0
1713899723.5285125,1223680,594.0
1713899753.6915123,1251840,594.0
1713899762.6565118,1259520,594.0
