Wall time,Step,Value
1713928234.2531946,5120,290.0
1713928270.3601935,40960,313.0
1713928275.4371927,46080,314.0
1713928311.894193,81920,722.0
1713928314.4171927,84480,722.0
1713928317.2691932,87040,722.0
1713928324.9201925,94720,307.0
1713928327.479193,97280,683.0
1713928332.4801934,102400,722.0
1713928352.8981926,122880,274.0
1713928355.8001933,125440,296.0
1713928360.7751935,130560,293.0
1713928363.252193,133120,823.0
1713928368.2041929,138240,898.0
1713928378.4571927,148480,671.0
1713928388.6521943,158720,898.0
1713928393.6471925,163840,898.0
1713928396.1341927,166400,800.0
1713928401.1121943,171520,897.0
1713928411.376193,181760,1427.0
1713928413.926193,184320,844.0
1713928419.2831926,189440,296.0
1713928421.8361926,192000,680.0
1713928426.7871933,197120,842.0
1713928429.2571943,199680,1432.0
1713928434.2571933,204800,1413.0
1713928437.5601926,207360,308.0
1713928443.270193,212480,1415.0
1713928445.9151928,215040,843.0
1713928448.5391934,217600,868.0
1713928450.9801927,220160,695.0
1713928453.540193,222720,1139.0
1713928456.0931933,225280,681.0
1713928461.1111937,230400,314.0
1713928463.6921926,232960,822.0
1713928466.527194,235520,849.0
1713928469.1561925,238080,1125.0
1713928471.6331923,240640,699.0
1713928476.7561944,245760,722.0
1713928479.300193,248320,898.0
1713928481.891193,250880,309.0
1713928484.429193,253440,1139.0
1713928486.9201927,256000,711.0
1713928489.5231938,258560,722.0
1713928492.0521927,261120,898.0
1713928494.6351926,263680,313.0
1713928497.6481934,266240,300.0
1713928500.1741927,268800,1425.0
1713928502.711193,271360,302.0
1713928505.301194,273920,1138.0
1713928507.835193,276480,1409.0
1713928510.307193,279040,3161.0
1713928512.8281925,281600,1790.0
1713928515.3791926,284160,308.0
1713928517.8741927,286720,711.0
1713928520.386193,289280,1402.0
1713928522.894194,291840,1130.0
1713928525.4481945,294400,703.0
1713928528.2461927,296960,1140.0
1713928530.774193,299520,898.0
1713928533.371193,302080,301.0
1713928535.9221926,304640,1128.0
1713928538.4341938,307200,2011.0
1713928541.0101938,309760,696.0
1713928543.5131934,312320,301.0
1713928546.0421941,314880,1414.0
1713928551.2391946,320000,1129.0
1713928553.7481925,322560,2028.0
1713928556.7061956,325120,813.0
1713928559.3051927,327680,302.0
1713928561.8951926,330240,312.0
1713928564.5361931,332800,1414.0
1713928567.1761932,335360,709.0
1713928569.6891935,337920,1137.0
1713928572.2281928,340480,311.0
1713928574.7411928,343040,1133.0
1713928577.286193,345600,687.0
1713928579.7631938,348160,830.0
1713928585.1901944,353280,1128.0
1713928588.0001934,355840,898.0
1713928590.7211945,358400,677.0
1713928593.2301934,360960,682.0
1713928595.7621927,363520,687.0
1713928598.2891934,366080,307.0
1713928600.8901927,368640,898.0
1713928603.5301929,371200,695.0
1713928606.0981927,373760,1796.0
1713928608.8171933,376320,308.0
1713928611.4641933,378880,304.0
1713928613.9741929,381440,311.0
1713928617.023193,384000,308.0
1713928619.5261927,386560,1434.0
1713928622.0691931,389120,1127.0
1713928624.6061928,391680,1129.0
1713928627.2801929,394240,1526.0
1713928629.8131933,396800,722.0
1713928632.338193,399360,1434.0
