Wall time,Step,Value
1713902300.5526552,5120,281.0
1713902338.2405522,40960,722.0
1713902351.963156,53760,709.0
1713902368.058678,69120,820.0
1713902370.6346028,71680,674.0
1713902373.14453,74240,683.0
1713902378.527371,79360,1140.0
1713902381.0952973,81920,898.0
1713902383.6042223,84480,1425.0
1713902386.1581469,87040,297.0
1713902388.7250729,89600,313.0
1713902391.2859974,92160,1409.0
1713902393.8009238,94720,885.0
1713902396.4458458,97280,303.0
1713902399.0957708,99840,722.0
1713902401.9016857,102400,302.0
1713902404.6946044,104960,722.0
1713902407.56452,107520,1128.0
1713902410.128445,110080,898.0
1713902412.7623675,112640,704.0
1713902415.513287,115200,814.0
1713902418.2172077,117760,898.0
1713902420.8821301,120320,1794.0
1713902423.4030557,122880,679.0
1713902426.0159802,125440,898.0
1713902428.5399055,128000,672.0
1713902431.14383,130560,307.0
1713902436.4836736,135680,315.0
1713902439.0835965,138240,854.0
1713902441.728519,140800,675.0
1713902444.336444,143360,1676.0
1713902446.961366,145920,1127.0
1713902449.5462897,148480,312.0
1713902452.2222126,151040,898.0
1713902454.7991369,153600,1428.0
1713902457.41906,156160,289.0
1713902459.9789844,158720,708.0
1713902462.662906,161280,1519.0
1713902465.4888222,163840,1434.0
1713902470.738669,168960,308.0
1713902473.3115935,171520,1153.0
1713902475.9675171,174080,703.0
1713902478.6184392,176640,1679.0
1713902481.2113624,179200,710.0
1713902483.8242853,181760,690.0
1713902486.4672081,184320,898.0
1713902489.090132,186880,305.0
1713902491.6930552,189440,1127.0
1713902494.346977,192000,711.0
1713902497.1268957,194560,305.0
1713902499.7568188,197120,898.0
1713902502.3907416,199680,312.0
1713902505.007665,202240,808.0
1713902507.5905893,204800,307.0
1713902510.2375114,207360,704.0
1713902512.820436,209920,1526.0
1713902515.4313595,212480,311.0
1713902518.071283,215040,816.0
1713902520.6332078,217600,1125.0
1713902523.2601314,220160,685.0
1713902526.2130444,222720,1150.0
1713902528.8349671,225280,313.0
1713902531.4238913,227840,704.0
1713902534.0698135,230400,299.0
1713902536.7497344,232960,703.0
1713902539.3386588,235520,689.0
1713902541.9655821,238080,1413.0
1713902547.1644297,243200,689.0
1713902549.7433538,245760,1651.0
1713902552.3542776,248320,314.0
1713902555.119197,250880,286.0
1713902557.7461197,253440,310.0
1713902560.3570435,256000,1242.0
1713902562.9329686,258560,692.0
1713902565.534891,261120,1129.0
1713902568.1598144,263680,1242.0
1713902570.7437387,266240,1437.0
1713902573.3076634,268800,722.0
1713902575.912588,271360,801.0
1713902578.4665146,273920,722.0
1713902581.0844364,276480,855.0
1713902583.6503608,279040,707.0
1713902586.4862773,281600,722.0
1713902589.0762024,284160,1127.0
1713902591.6671255,286720,1435.0
1713902594.2330506,289280,1800.0
1713902596.9589725,291840,1142.0
1713902599.4788973,294400,1136.0
1713902602.0388227,296960,1410.0
1713902604.6037467,299520,711.0
1713902607.7176573,302080,2018.0
1713902610.3325799,304640,698.0
1713902612.9315028,307200,1407.0
1713902615.7674193,309760,1135.0
1713902618.3013473,312320,1126.0
1713902620.86527,314880,294.0
1713902623.4901948,317440,307.0
1713902626.0321188,320000,1435.0
1713902628.5850444,322560,683.0
1713902631.1419692,325120,1431.0
1713902633.7188945,327680,1128.0
1713902636.2948203,330240,722.0
1713902638.8337436,332800,682.0
1713902641.4516666,335360,1427.0
1713902643.9965944,337920,693.0
1713902646.7865107,340480,694.0
1713902649.3544364,343040,1129.0
1713902651.98336,345600,305.0
1713902654.587282,348160,1138.0
1713902657.2932026,350720,299.0
1713902659.8801272,353280,1441.0
1713902662.5040503,355840,316.0
1713902665.054976,358400,1427.0
1713902667.7038972,360960,695.0
1713902670.2468233,363520,700.0
1713902672.8327477,366080,1413.0
1713902675.590667,368640,1413.0
1713902678.2465901,371200,1409.0
1713902680.8095143,373760,314.0
1713902683.5604331,376320,691.0
1713902686.181356,378880,1423.0
1713902688.81728,381440,303.0
1713902691.4062035,384000,1130.0
1713902694.0351295,386560,1438.0
1713902699.1449773,391680,692.0
1713902701.6689026,394240,1437.0
1713902704.3018274,396800,1415.0
1713902709.6366692,401920,1154.0
1713902712.2135935,404480,287.0
1713902714.864516,407040,699.0
1713902717.50144,409600,689.0
1713902720.1293626,412160,1407.0
1713902722.6802886,414720,861.0
1713902725.251212,417280,722.0
1713902727.8011377,419840,1128.0
1713902730.4090607,422400,722.0
1713902732.9669857,424960,673.0
1713902735.7609034,427520,1138.0
1713902738.3578274,430080,693.0
1713902740.973751,432640,696.0
1713902743.5526764,435200,314.0
1713902748.777522,440320,1132.0
1713902751.3614469,442880,1956.0
1713902753.9543705,445440,701.0
1713902756.6152923,448000,688.0
1713902761.8181403,453120,1538.0
1713902764.5090618,455680,1425.0
1713902767.3079793,458240,1525.0
1713902769.9419026,460800,313.0
1713902772.5358262,463360,304.0
1713902775.2227476,465920,1136.0
1713902777.8666708,468480,1125.0
1713902780.5685909,471040,831.0
1713902783.1795144,473600,3161.0
1713902785.780439,476160,827.0
1713902788.3483632,478720,1436.0
1713902790.9762862,481280,678.0
1713902793.535211,483840,838.0
1713902796.332129,486400,1433.0
1713902798.933053,488960,1424.0
1713902801.5369763,491520,314.0
1713902804.1339006,494080,1126.0
1713902809.3647468,499200,1422.0
1713902812.0966678,501760,309.0
1713902814.6735916,504320,702.0
1713902817.3125143,506880,1125.0
1713902819.8914385,509440,832.0
1713902822.5053632,512000,310.0
1713902825.3782778,514560,1410.0
1713902827.9782023,517120,1137.0
1713902830.6451235,519680,822.0
1713902833.3100462,522240,1423.0
1713902836.002967,524800,312.0
1713902838.7868853,527360,1414.0
1713902841.3568108,529920,309.0
1713902843.9707336,532480,1415.0
1713902846.636655,535040,722.0
1713902849.293579,537600,1136.0
1713902851.9195004,540160,1126.0
1713902854.5544236,542720,312.0
1713902857.3443413,545280,311.0
1713902859.950265,547840,314.0
1713902862.6091874,550400,1438.0
1713902867.8350353,555520,2469.0
1713902870.4819562,558080,311.0
1713902880.9316504,568320,1246.0
1713902883.5475736,570880,307.0
1713902886.4274893,573440,808.0
1713902889.041413,576000,2472.0
1713902891.6193368,578560,1939.0
1713902894.318259,581120,681.0
1713902899.6361034,586240,1428.0
1713902902.2050269,588800,1130.0
1713902904.83895,591360,676.0
1713902907.4128745,593920,2471.0
1713902910.0377986,596480,314.0
1713902915.4906402,601600,310.0
1713902918.0695853,604160,898.0
1713902920.7585304,606720,1529.0
1713902925.943421,611840,701.0
1713902928.5963671,614400,1244.0
1713902931.1943119,616960,822.0
1713902933.8072565,619520,316.0
1713902936.454201,622080,2468.0
1713902939.0511482,624640,1137.0
1713902941.8240888,627200,297.0
1713902944.499033,629760,1527.0
1713902947.2229764,632320,312.0
1713902949.852921,634880,898.0
1713902955.3668058,640000,1432.0
