Wall time,Step,Value
1713895981.3401384,5120,280.0
1713895983.837138,7680,188.0
1713896014.874138,38400,670.0
1713896017.4001398,40960,671.0
1713896022.3641386,46080,722.0
1713896024.8651388,48640,312.0
1713896032.2761393,56320,722.0
1713896037.2551382,61440,858.0
1713896050.046138,74240,836.0
1713896052.494138,76800,302.0
1713896057.5111387,81920,854.0
1713896059.9731386,84480,898.0
1713896062.4741395,87040,810.0
1713896064.9751382,89600,722.0
1713896067.4721384,92160,308.0
1713896070.2551384,94720,1413.0
1713896072.749138,97280,698.0
1713896075.3611383,99840,314.0
1713896077.8881385,102400,307.0
1713896080.3661387,104960,722.0
1713896082.9051383,107520,702.0
1713896085.3671386,110080,795.0
1713896087.868138,112640,814.0
1713896090.4151382,115200,305.0
1713896092.9201412,117760,722.0
1713896095.41514,120320,1128.0
1713896097.9371402,122880,1127.0
1713896101.678139,125440,1125.0
1713896104.288139,128000,1435.0
1713896107.195139,130560,1126.0
1713896109.8631392,133120,680.0
1713896112.8711386,135680,811.0
1713896116.0521388,138240,824.0
1713896119.070139,140800,1651.0
1713896122.1921382,143360,1152.0
1713896125.2351396,145920,694.0
1713896128.252138,148480,1136.0
1713896131.2191384,151040,898.0
1713896133.6181388,153600,1131.0
1713896136.0391383,156160,1134.0
1713896138.430138,158720,689.0
1713896140.8371384,161280,722.0
1713896143.2181382,163840,3161.0
1713896145.5551395,166400,1126.0
1713896147.9431386,168960,1129.0
1713896150.3581386,171520,1126.0
1713896152.7181382,174080,1132.0
1713896155.0561407,176640,1650.0
1713896157.3801382,179200,1426.0
1713896160.1231387,181760,1963.0
1713896162.5021381,184320,1401.0
1713896164.887138,186880,817.0
1713896167.2931383,189440,1784.0
1713896169.7131386,192000,303.0
1713896172.0831382,194560,1127.0
1713896174.4651394,197120,2025.0
1713896176.8591383,199680,309.0
1713896179.2921383,202240,898.0
1713896181.6781383,204800,708.0
1713896184.1491382,207360,1126.0
1713896186.491139,209920,1126.0
1713896189.2251422,212480,3161.0
1713896191.7921383,215040,290.0
1713896194.1671383,217600,684.0
1713896196.5581384,220160,308.0
1713896198.9701383,222720,1129.0
1713896201.3001382,225280,828.0
1713896203.6551387,227840,705.0
1713896206.0871387,230400,822.0
1713896208.4631383,232960,1154.0
1713896210.8971386,235520,722.0
1713896213.257139,238080,1127.0
1713896215.6671407,240640,1126.0
1713896218.0771382,243200,1126.0
1713896220.9871383,245760,1129.0
1713896223.3791382,248320,310.0
1713896225.9471385,250880,898.0
1713896228.2871387,253440,1434.0
1713896230.7381387,256000,1431.0
1713896233.1191382,258560,1429.0
1713896235.6221383,261120,314.0
1713896238.049138,263680,681.0
1713896240.4731386,266240,722.0
1713896242.8381379,268800,1959.0
1713896245.341138,271360,1438.0
1713896247.702138,273920,1128.0
1713896250.4531384,276480,1130.0
1713896252.8091378,279040,1149.0
1713896255.373138,281600,1433.0
1713896257.7581394,284160,831.0
1713896260.1981387,286720,687.0
1713896262.6191382,289280,1430.0
1713896265.015138,291840,709.0
1713896267.4151382,294400,308.0
1713896269.8211386,296960,1443.0
1713896272.4771385,299520,1127.0
1713896275.015139,302080,1130.0
1713896277.592139,304640,681.0
1713896280.4811382,307200,1435.0
1713896283.0271397,309760,1130.0
1713896285.5521386,312320,1421.0
1713896288.186138,314880,1425.0
1713896290.6801395,317440,1154.0
1713896293.2051384,320000,1525.0
1713896295.7081382,322560,1130.0
1713896298.2561386,325120,1435.0
1713896300.7621381,327680,1429.0
1713896303.2831383,330240,1130.0
1713896305.8151393,332800,723.0
1713896308.344138,335360,1415.0
1713896311.1081386,337920,1419.0
1713896313.6721394,340480,1417.0
1713896316.2871406,343040,820.0
1713896318.7941382,345600,686.0
1713896321.316138,348160,1129.0
1713896323.9161391,350720,722.0
1713896326.4261384,353280,1435.0
1713896328.9881382,355840,1523.0
1713896331.5831401,358400,1128.0
1713896334.0991397,360960,898.0
1713896336.6101382,363520,1422.0
1713896339.3081398,366080,1126.0
1713896342.010138,368640,1528.0
1713896344.509138,371200,1135.0
1713896347.0291388,373760,1129.0
1713896349.7001383,376320,681.0
1713896352.2271383,378880,1684.0
1713896354.7231383,381440,1130.0
1713896357.3301387,384000,898.0
1713896359.850139,386560,688.0
1713896362.3301382,389120,898.0
1713896364.9061394,391680,1125.0
1713896367.3841383,394240,1129.0
1713896370.2491395,396800,1416.0
1713896372.7821393,399360,1785.0
1713896375.3601406,401920,1242.0
1713896377.958139,404480,1125.0
1713896380.4681385,407040,678.0
1713896383.0421386,409600,1429.0
1713896385.546138,412160,1408.0
1713896388.1011384,414720,1432.0
1713896390.6991384,417280,843.0
1713896393.2671382,419840,1151.0
1713896395.7831383,422400,1244.0
1713896398.3251402,424960,2028.0
1713896401.2061381,427520,313.0
1713896403.7791383,430080,1129.0
1713896406.319138,432640,805.0
1713896408.922139,435200,722.0
1713896411.4651382,437760,1961.0
1713896413.9971397,440320,1125.0
1713896416.564138,442880,1420.0
1713896419.1091387,445440,1433.0
1713896421.6541383,448000,1429.0
1713896424.2591383,450560,1412.0
1713896426.7741385,453120,682.0
1713896429.5041416,455680,706.0
1713896432.220138,458240,1425.0
1713896434.774139,460800,310.0
1713896437.417138,463360,1127.0
1713896439.9871383,465920,1417.0
1713896442.566138,468480,1528.0
1713896445.1381383,471040,1679.0
1713896447.6821434,473600,1433.0
1713896450.286138,476160,1432.0
1713896452.8121383,478720,700.0
1713896455.3801396,481280,722.0
1713896457.9261382,483840,1416.0
1713896460.8361387,486400,678.0
1713896463.3831384,488960,675.0
1713896465.9601386,491520,1680.0
1713896468.5311384,494080,1521.0
1713896471.096138,496640,1432.0
1713896473.6191382,499200,672.0
1713896476.2681391,501760,1125.0
1713896478.8301384,504320,1408.0
1713896481.3811388,506880,1416.0
1713896483.9281383,509440,704.0
1713896486.4621382,512000,1404.0
1713896488.9471395,514560,1432.0
1713896491.7621384,517120,303.0
1713896494.2451384,519680,1947.0
1713896496.8781383,522240,2020.0
1713896499.3691382,524800,1402.0
1713896501.9411383,527360,1413.0
1713896504.417138,529920,1416.0
1713896506.9331398,532480,1802.0
1713896509.4201398,535040,1133.0
1713896511.9771388,537600,694.0
1713896514.4621382,540160,1434.0
1713896516.9941392,542720,1682.0
1713896519.7251403,545280,1425.0
1713896522.4731398,547840,1519.0
1713896524.9821384,550400,2023.0
1713896527.516138,552960,722.0
1713896530.2081385,555520,697.0
1713896532.7991388,558080,1431.0
1713896535.2931383,560640,1532.0
1713896537.8331401,563200,1431.0
1713896540.3811402,565760,1404.0
1713896542.9461386,568320,2022.0
1713896545.450138,570880,680.0
1713896548.0361395,573440,1411.0
1713896550.8531382,576000,1435.0
1713896553.4011402,578560,1414.0
1713896555.9201386,581120,1680.0
1713896558.6431384,583680,677.0
1713896561.1661386,586240,679.0
1713896563.7321403,588800,1416.0
1713896566.4381385,591360,1419.0
1713896569.1971385,593920,1433.0
1713896571.960138,596480,1134.0
1713896574.96814,599040,1419.0
1713896577.7291384,601600,1429.0
1713896580.6251385,604160,1408.0
1713896583.3271382,606720,1404.0
1713896585.969141,609280,1407.0
1713896588.7911396,611840,1426.0
1713896591.3321383,614400,801.0
1713896594.0081394,616960,1426.0
1713896596.7031384,619520,1435.0
1713896599.2821388,622080,695.0
1713896601.985141,624640,721.0
1713896604.8231397,627200,1799.0
1713896607.4581382,629760,1442.0
1713896610.5651383,632320,1959.0
1713896613.3511395,634880,1128.0
1713896616.2421393,637440,1415.0
1713896619.1151397,640000,1519.0
1713896621.8921394,642560,1151.0
1713896624.6991384,645120,2470.0
1713896627.3811383,647680,1246.0
1713896630.4711397,650240,1415.0
1713896633.248139,652800,1440.0
1713896635.9431405,655360,1800.0
1713896638.7641408,657920,676.0
1713896641.9141383,660480,1433.0
1713896644.3921385,663040,1427.0
1713896646.967138,665600,698.0
1713896649.4161382,668160,692.0
1713896651.9241385,670720,694.0
1713896654.4041386,673280,1415.0
1713896656.934138,675840,1132.0
1713896659.4121385,678400,679.0
1713896661.9141386,680960,1428.0
1713896664.4151397,683520,1412.0
1713896666.9651382,686080,1413.0
1713896669.5931396,688640,1437.0
1713896672.234138,691200,2471.0
1713896674.7511382,693760,2473.0
1713896677.2851381,696320,704.0
1713896679.8071382,698880,704.0
1713896682.3741384,701440,694.0
1713896687.467139,706560,2013.0
1713896689.9691381,709120,1127.0
1713896692.6081402,711680,1125.0
1713896695.0961385,714240,1435.0
1713896697.6641383,716800,1423.0
1713896700.48414,719360,1193.0
1713896703.087138,721920,705.0
1713896705.8591383,724480,1127.0
1713896708.4231389,727040,677.0
1713896711.0191383,729600,1408.0
1713896713.5651383,732160,1525.0
1713896716.0841382,734720,2467.0
1713896718.668139,737280,676.0
1713896721.2321384,739840,1440.0
1713896723.782139,742400,2023.0
1713896726.2881398,744960,1417.0
1713896728.8951406,747520,2026.0
1713896731.7461383,750080,2023.0
1713896734.3241384,752640,1540.0
1713896736.9271393,755200,1978.0
1713896739.5781388,757760,1443.0
1713896742.1151383,760320,1958.0
1713896744.6291385,762880,1511.0
1713896747.2011385,765440,1542.0
1713896749.7291386,768000,1793.0
1713896752.2481406,770560,1245.0
1713896754.844139,773120,2471.0
1713896757.3641396,775680,1781.0
1713896760.4321384,778240,1419.0
1713896763.0301383,780800,2473.0
1713896765.6211393,783360,682.0
1713896768.2241385,785920,1520.0
1713896770.7781386,788480,2024.0
1713896773.3961384,791040,1250.0
1713896775.919139,793600,2471.0
1713896778.4661393,796160,1152.0
1713896780.952139,798720,721.0
1713896783.525139,801280,2453.0
1713896788.557139,806400,695.0
1713896791.651138,808960,1417.0
1713896794.190138,811520,2019.0
1713896796.686139,814080,1416.0
1713896799.5811388,816640,720.0
1713896802.17414,819200,679.0
1713896805.033139,821760,2006.0
1713896807.685138,824320,2029.0
1713896810.281139,826880,1798.0
1713896812.7941387,829440,1798.0
1713896815.3541384,832000,1428.0
1713896817.870139,834560,2470.0
1713896820.8021383,837120,1788.0
1713896823.4001384,839680,1434.0
1713896826.2741385,842240,1247.0
1713896828.9411385,844800,2023.0
1713896831.7081397,847360,3161.0
1713896834.4461389,849920,682.0
1713896837.4411385,852480,1429.0
1713896840.2091408,855040,1430.0
1713896842.885138,857600,1431.0
1713896845.4881382,860160,1420.0
1713896847.9641385,862720,1791.0
1713896851.0141387,865280,1423.0
1713896853.6671395,867840,1438.0
1713896856.2801383,870400,861.0
1713896859.2121396,872960,1423.0
1713896861.9331384,875520,2024.0
1713896864.5271387,878080,689.0
1713896867.0611389,880640,1796.0
1713896869.622139,883200,1402.0
1713896872.1421385,885760,1435.0
1713896874.6331382,888320,1526.0
1713896877.1931381,890880,1525.0
1713896879.8811383,893440,679.0
1713896882.5311394,896000,1131.0
1713896885.0331388,898560,2023.0
1713896887.5991383,901120,1544.0
1713896890.1021385,903680,1674.0
1713896892.638138,906240,2470.0
1713896895.1851385,908800,1530.0
1713896897.7411382,911360,871.0
1713896900.268138,913920,314.0
1713896902.789138,916480,1416.0
1713896905.3381393,919040,1432.0
1713896907.8701391,921600,1127.0
1713896910.708139,924160,2766.0
1713896913.3241382,926720,1792.0
1713896915.866143,929280,3161.0
1713896918.4021387,931840,2469.0
1713896921.0121388,934400,1133.0
1713896923.5551386,936960,679.0
1713896926.0721388,939520,2028.0
1713896928.6011379,942080,2024.0
1713896931.09914,944640,2764.0
1713896933.7001395,947200,2029.0
1713896936.2321396,949760,2024.0
1713896938.8231382,952320,2024.0
1713896941.6421385,954880,688.0
1713896944.4151378,957440,2465.0
1713896947.1851392,960000,679.0
1713896950.153138,962560,1818.0
1713896952.831139,965120,1785.0
1713896955.3781385,967680,1417.0
1713896957.9531379,970240,3161.0
1713896960.5291388,972800,1961.0
1713896963.0351386,975360,1794.0
1713896965.5471382,977920,1407.0
1713896968.09314,980480,1130.0
1713896970.9031384,983040,1127.0
1713896973.4251385,985600,1816.0
1713896975.936139,988160,1433.0
1713896978.4861393,990720,2023.0
1713896981.0971382,993280,2022.0
1713896983.6241386,995840,1435.0
1713896986.2021384,998400,1150.0
1713896988.8551393,1000960,686.0
1713896991.3661387,1003520,680.0
1713896993.93914,1006080,3161.0
1713896996.450139,1008640,1131.0
1713896998.9651399,1011200,1135.0
1713897001.757138,1013760,1819.0
1713897004.3661385,1016320,705.0
1713897006.872138,1018880,1966.0
1713897009.4221382,1021440,722.0
1713897011.943145,1024000,1126.0
1713897014.4881399,1026560,2469.0
1713897017.0111382,1029120,3161.0
1713897019.6191385,1031680,1952.0
1713897022.1211393,1034240,1424.0
1713897024.6751382,1036800,1792.0
1713897027.166139,1039360,2027.0
1713897029.8681393,1041920,2021.0
1713897032.5241382,1044480,1415.0
1713897035.0781386,1047040,1129.0
1713897037.584138,1049600,1414.0
1713897040.248139,1052160,2025.0
1713897042.7621384,1054720,2469.0
1713897045.3101413,1057280,1423.0
1713897047.8341384,1059840,679.0
1713897050.388138,1062400,1414.0
1713897052.9281385,1064960,1796.0
1713897055.5641394,1067520,679.0
1713897058.1001382,1070080,678.0
1713897061.0061388,1072640,1245.0
1713897063.5121381,1075200,679.0
1713897066.1481385,1077760,1799.0
1713897068.6751378,1080320,1425.0
1713897071.269138,1082880,1545.0
1713897073.8611393,1085440,2467.0
1713897076.4711385,1088000,1127.0
1713897079.413139,1090560,1799.0
1713897082.282138,1093120,1416.0
1713897085.0691395,1095680,722.0
1713897087.703139,1098240,1415.0
1713897090.5681381,1100800,1415.0
1713897093.1431396,1103360,1531.0
1713897095.697138,1105920,1421.0
1713897098.2661405,1108480,1417.0
1713897100.957138,1111040,1127.0
1713897103.5111382,1113600,1416.0
1713897106.0481384,1116160,1523.0
1713897108.61114,1118720,898.0
1713897111.1831388,1121280,1783.0
1713897113.751138,1123840,679.0
1713897116.4441383,1126400,679.0
1713897119.1201382,1128960,1442.0
1713897121.881138,1131520,1442.0
1713897124.4561393,1134080,1417.0
1713897126.9551384,1136640,2047.0
1713897132.02814,1141760,2471.0
1713897134.5511396,1144320,1789.0
1713897137.0921383,1146880,1673.0
1713897139.6441386,1149440,1803.0
1713897142.2191384,1152000,2475.0
1713897144.7761383,1154560,2471.0
1713897147.3191383,1157120,2483.0
1713897150.1041417,1159680,680.0
1713897152.7751381,1162240,2025.0
1713897155.339138,1164800,2025.0
1713897157.8441381,1167360,1787.0
1713897160.457138,1169920,1805.0
1713897162.9691389,1172480,314.0
1713897165.5191386,1175040,898.0
1713897168.0051389,1177600,1821.0
1713897170.5931382,1180160,1978.0
1713897173.0481384,1182720,1958.0
1713897175.5721385,1185280,3161.0
1713897178.0591383,1187840,1819.0
1713897180.9721382,1190400,2023.0
1713897183.4891412,1192960,1126.0
1713897186.0241382,1195520,2022.0
1713897188.5541394,1198080,1819.0
1713897191.0811388,1200640,1823.0
1713897193.5811384,1203200,2025.0
1713897196.1731386,1205760,679.0
